FNR;Benennung deutsch;Benennung english;Code;"Sachnummer
1001;Auspuffkruemmer;Exhaust manifold; ;P 642 140 09 09;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1001;Auspuffkruemmer;Exhaust manifold; ;P 642 140 08 09;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1005;Oxidations-Katalysator;Oxidation catalyst; ;P 205 491 16 14;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1012;Drucksensor (Abgasgegendruck) ;Sensor (exhaust back pressure) 1; ;P 000 905 27 06;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1013;Partikelfilter;Particulate filter; ;P 906 491 14 94;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1029;Drucksensor (PF-Differenzdruck);Sensor (exhaust differential-pressure); ;P 000 905 65 03;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1041;SCR Katalysator;SCR catalyst; ;P 906 490 26 14;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1101;Lambdasonde ;Primary O2 sensor; ;P 006 542 49 18;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1107;NOX-Sensor ;NOX sensor 1; ;P 000 905 30 09;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1114;PM-Sensor;Particulate matter sensor;;P 000 905 06 08;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1114;PM-Sensor;Particulate matter sensor;;P 000 905 02 14;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1115;NOX-Sensor ;NOX sensor 2; ;P 000 905 30 09;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1233;Kraftstoffdruckregelventil;Fuel-pressure regulator; ;incl. in 12.24;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1234;Ueberdruckventil;Pressure relief valve;;P 910 470 00 00;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1235;Schwimmerventil ;Floating valve; ;incl. in 12.24;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1236;Schwimmerventil (Roll-over);Roll-over valve; ;P 000 490 02 00;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1263;Qualitaetssensor SCR;Quality sensor SCR; ;incl. in 12.24;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1504;Thermostat (Kuehlwasser);Engine thermostat;;P 642 200 20 15;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1633;Steuereinheit elektrohydraulisch;Electrohydraulic Control Unit;A98+35A;P 231 270 38 01;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1634;Schaltplatte;Gearshift plate;A98;P 212 270 00 57;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1757;Oeldruck-Kontrollventil, elektrisch;Oil pressure control valve, electrical;;P 278 180 04 15;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
2028;Drucksensor (Umgebungsdruck);Pressure sensor (ATM);;incl. in 38.46;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
2033;Drucksensor (Ansaugluft) ;Pressure sensor (induction air) 1; ;P 008 153 44 28;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
2037;DS Hochdrucksensor;Rail pressure sensor; ;P 006 153 78 28;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
2042;Drucksensor (Ladeluft) ;Pressure sensor (charge air) 1; ;P 009 153 34 28;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
2401;Temperatursensor (Kuehlwasser);Temperature sensor (coolant); ;P 000 905 61 02;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
2417;Temperatursensor (Abgas) ;Temperature sensor (exhaust gas) 1;;P 000 905 14 05;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
2420;Temperatursensor (Motoroel);Temperature sensor (motor oil);;P 005 153 23 28;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
2421;Kraftstofftemperatursensor;Fuel temperature sensor; ;P 005 153 23 28;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
2424;Temperatursensor (Abgas) ;Temperature sensor (exhaust gas) 2;;P 000 905 40 05;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
2425;Temperatursensor (Abgas) ;Temperature sensor (exhaust gas) 3;;P 000 905 88 04;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
2426;Temperatursensor (Abgas) ;Temperature sensor (exhaust gas) 4; ;P 000 905 99 05;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
2427;Temperatursensor (Ladeluft) ;Temperature sensor (charge air) 1; ;P 651 153 00 28;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
2431;Temperatursensor (Hochdruck-AGR);Temperature sensor (high pressure EGR); ;P 000 905 43 05;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
3606;Luftmassenmesser mit Temperatursensor;MAF sensor with IAT sensor; ;P 000 094 34 48;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
3846;Steuergeraet Motorregelung Hardware;Control module engine hardware; ;P 642 901 41 00;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
3847;Steuergeraet Motorregelung Software;Control module engine software;;P 642 902 63 04;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
3847;Steuergeraet Motorregelung Software;Control module engine software; ;P 642 902 16 04;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
3848;Steuergeraet Motorregelung Parameterdaten;Control module engine parameters;;P 642 903 77 18;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
3848;Steuergeraet Motorregelung Parameterdaten;Control module engine parameters;;P 642 903 75 18;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
3850;Programm, Automatikgetriebe;Program automatic transmission; ;P 000 902 30 52;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
3850;Programm, Automatikgetriebe;Program automatic transmission;;P 000 902 54 91;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
3853;Steuergeraet  Automatikgetriebe Hardware;Control module automatic transmission hardware; ;P 000 901 71 00;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
3858;Steuergeraet Abgasnachbehandlung Software;Control module exhaust aftertreatment software;;P 000 902 96 67;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
3859;Steuergeraet Abgasnachbehandlung Parameterdaten;Control module exhaust aftertreatment parameters;;P 000 903 04 63;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
3861;Steuergeraet CPC Hardware;Central powertrain controller hardware;;P 000 901 33 13;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
3862;Steuergeraet CPC Software;Central powertrain controller software;;P 000 902 42 52;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
3862;Steuergeraet CPC Software;Central powertrain controller software;;P 000 902 56 52;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
3863;Steuergeraet CPC Parameterdaten;Central powertrain controller parameters;;P 000 903 84 39;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
3863;Steuergeraet CPC Parameterdaten;Central powertrain controller parameters;;P 000 903 20 63;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
3865;Steuergeraet Abgasnachbehandlung Hardware;Control module exhaust aftertreatment hardware; ;P 000 901 17 03;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
0109;Oel-Einfuellverschluss;Oil filler cap; ;T 000 010 16 85;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
0209;Gluehkerze;Glow plug;;T 001 159 66 01;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
0215;Positionssensor Kurbelwelle;Crankshaft position sensor; ;T 276 905 15 00;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
0219;Positionssensor Nockenwelle;Camshaft position sensor; ;T 005 153 13 28;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
0301;Daempferfilter;Air cleaner;;T 907 528 01 00;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
0302;Ladeluftverteiler;Intake manifold; ;T 642 090 69 37;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
0302;Ladeluftverteiler;Intake manifold; ;T 642 090 06 37;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
0302;Ladeluftverteiler;Intake manifold; ;T 642 098 00 00;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
0310;Oelabscheider;Oil separator;;T 642 010 03 62;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
0352;Stellmotor (EKAS);Intake-port shutoff; ;T 642 150 05 94;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
0360;Ansaugluftdrosselung elektr.;Intake air throttle electric; ;T 642 090 02 70;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
0364;Oeleinfuellrohr;Oil filler pipe;;T 642 010 81 07;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
0366;Reinluftleitung;Clean air line;;T 906 528 23 24;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
0431;Steuergeraet GZE (Gluehzeitendstufe);Glow-time control modul ; ;T 642 900 13 02;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
0432;Hochdruckpumpe;High-pressure pump; ;T 642 070 11 01;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
0433;Injektor;Fuel injector; ;T 642 070 12 87;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
0433;Injektor;Fuel injector;;T 642 070 12 87;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
0516;Ladeluftkuehler ;Charge air cooler; ;T 907 501 17 00;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
0525;Abgasturbolader;Turbocharger, VNT; ;T 642 090 12 00;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
0529;Ladeluftleitung ;Charge air line;;T 642 090 05 00;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
0529;Ladeluftleitung ;Charge air line;;T 642 090 59 37;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
0769;Kraftstoff-Druckregelventil;Fuel pressure regulator; ;T 642 070 02 46;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
0770;Kraftstoffverteiler (Hochdruck);Fuel rail (high pressure); ;T 642 070 27 95;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
0770;Kraftstoffverteiler (Hochdruck);Fuel rail (high pressure); ;T 642 070 30 95;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
0791;Kraftstoffdrucksensor (Niederdruck);Low pressure fuel sensor; ;T 004 542 16 18;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
0801;Abgasrueckfuehrventil (Hochdruck-AGR);Exhaust gas recirculation valve (high pressure); ;T 642 140 14 60;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
0813;Abgaswaermeaustauscher (Hochdruck-AGR);Exhaust gas recirculation cooler (high pressure); ;T 642 140 21 75;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
0818;Bypassklappe (Hochdruck-AGR);Bypass flap (high pressure EGR);;T 642 140 03 00;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
1001;Auspuffkruemmer;Exhaust manifold; ;T 642 140 09 09;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
1001;Auspuffkruemmer;Exhaust manifold; ;T 642 140 08 09;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
1005;Oxidations-Katalysator;Oxidation catalyst; ;T 205 491 16 14;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
1012;Drucksensor (Abgasgegendruck) ;Sensor (exhaust back pressure) 1; ;T 000 905 27 06;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
1013;Partikelfilter;Particulate filter; ;T 906 491 14 94;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
1029;Drucksensor (PF-Differenzdruck);Sensor (exhaust differential-pressure); ;T 000 905 65 03;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
1041;SCR Katalysator;SCR catalyst; ;T 906 490 26 14;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
1101;Lambdasonde ;Primary O2 sensor; ;T 006 542 49 18;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
1107;NOX-Sensor ;NOX sensor 1; ;T 000 905 30 09;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
1114;PM-Sensor;Particulate matter sensor;;T 000 905 06 08;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
1114;PM-Sensor;Particulate matter sensor;;T 000 905 02 14;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
1115;NOX-Sensor ;NOX sensor 2; ;T 000 905 30 09;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
1233;Kraftstoffdruckregelventil;Fuel-pressure regulator; ;incl. in 12.24;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
1234;Ueberdruckventil;Pressure relief valve;;T 910 470 00 00;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
1235;Schwimmerventil ;Floating valve; ;incl. in 12.24;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
1236;Schwimmerventil (Roll-over);Roll-over valve; ;T 000 490 02 00;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
1263;Qualitaetssensor SCR;Quality sensor SCR; ;incl. in 12.24;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
1504;Thermostat (Kuehlwasser);Engine thermostat;;T 642 200 20 15;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
1633;Steuereinheit elektrohydraulisch;Electrohydraulic Control Unit;A98+35A;T 231 270 38 01;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
1634;Schaltplatte;Gearshift plate;A98;T 212 270 00 57;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
1757;Oeldruck-Kontrollventil, elektrisch;Oil pressure control valve, electrical;;T 278 180 04 15;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
2028;Drucksensor (Umgebungsdruck);Pressure sensor (ATM);;incl. in 38.46;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
2033;Drucksensor (Ansaugluft) ;Pressure sensor (induction air) 1; ;T 008 153 44 28;332-23;23;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY23
